2010-01-01 00:00:00,0.2,967,28,-999,-999
2010-01-01 01:00:00,-2.4,964.8,21,-999,-999
2010-01-01 02:00:00,-0.6,964.1,13,-999,-999
2010-01-01 03:00:00,1.4,971.4,16,-999,-999
2010-01-01 04:00:00,3.2,970.2,15,-999,-999
2010-01-01 05:00:00,1.3,970.6,18,-999,-999
2010-01-01 06:00:00,2.6,965.4,17,-999,-999
2010-01-01 07:00:00,1.4,969.4,21,-999,-999
2010-01-01 08:00:00,-2,959.6,17,-999,-999
2010-01-01 09:00:00,0.8,966,17,-999,-999
2010-01-01 10:00:00,-1.9,965.6,16,-999,-999
2010-01-01 11:00:00,0.9,966.5,22,-999,-999
2010-01-01 12:00:00,-0.1,967.7,23,-999,-999
2010-01-01 13:00:00,-4.3,966.8,12,-999,-999
2010-01-01 14:00:00,-5.5,963.9,22,-999,-999
2010-01-01 15:00:00,-5.8,965.1,24,-999,-999
2010-01-01 16:00:00,-4.7,968.9,15,-999,-999
2010-01-01 17:00:00,-5.1,968.4,17,-999,-999
2010-01-01 18:00:00,-0.9,972.1,16,-999,-999
2010-01-01 19:00:00,-6.3,968.3,20,-999,-999
2010-01-01 20:00:00,-5.3,971.8,15,-999,-999
2010-01-01 21:00:00,-1.9,963,23,-999,-999
2010-01-01 22:00:00,-3.6,969.2,6,-999,-999
2010-01-01 23:00:00,-4.7,969.7,17,-999,-999
2010-01-02 00:00:00,-1.5,968.9,16,-999,-999
2010-01-02 01:00:00,0.1,963.8,15,-999,-999
2010-01-02 02:00:00,-0.5,968.4,20,-999,-999
2010-01-02 03:00:00,2,966.4,18,-999,-999
2010-01-02 04:00:00,2.5,969.2,19,-999,-999
2010-01-02 05:00:00,1.2,967.2,20,-999,-999
2010-01-02 06:00:00,4.3,965.8,27,-999,-999
2010-01-02 07:00:00,0.7,974.3,29,-999,-999
2010-01-02 08:00:00,2.1,965.3,13,-999,-999
2010-01-02 09:00:00,-0.1,968.3,12,-999,-999
2010-01-02 10:00:00,-2.5,969.2,16,-999,-999
2010-01-02 11:00:00,-0.4,966.6,13,-999,-999
2010-01-02 12:00:00,0.9,970.9,20,-999,-999
2010-01-02 13:00:00,-3.1,970.1,17,-999,-999
2010-01-02 14:00:00,-6.2,962.5,21,-999,-999
2010-01-02 15:00:00,-4.5,969.4,17,-999,-999
2010-01-02 16:00:00,-6.7,972.9,21,-999,-999
2010-01-02 17:00:00,-4.3,965.3,21,-999,-999
2010-01-02 18:00:00,-6.3,963.5,14,-999,-999
2010-01-02 19:00:00,-8.5,966.7,8,-999,-999
2010-01-02 20:00:00,-4.7,967.5,17,-999,-999
2010-01-02 21:00:00,-4.5,967.7,15,-999,-999
2010-01-02 22:00:00,-4.4,970.8,19,-999,-999
